gene_id	transcript_id(s)	SRX26953675	SRX26953676	SRX26953677	SRX26953678	SRX26953679	SRX26953680	SRX26953681	SRX26953682	SRX26953683	SRX26953684	SRX26953685	SRX26953686
ENSMUSG00000003378	ENSMUST00000003468,ENSMUST00000205328,ENSMUST00000205661,ENSMUST00000205993,ENSMUST00000206095,ENSMUST00000206132,ENSMUST00000206134	622.00	230.00	333.00	396.00	235.00	11.00	32.00	62.00	278.00	253.00	787.00	545.00
ENSMUSG00000003379	ENSMUST00000003469	2.00	39.00	14.59	9.00	136.00	166.00	39.00	314.00	221.00	1.00	5.00	106.00
ENSMUSG00000003380	ENSMUST00000076961,ENSMUST00000205771,ENSMUST00000205871,ENSMUST00000206222,ENSMUST00000206868,ENSMUST00000206941	4746.00	4478.00	5253.00	5041.00	7428.00	7925.00	9304.00	8200.00	9275.00	11650.00	8843.00	9177.00
ENSMUSG00000003382	ENSMUST00000117293,ENSMUST00000119109,ENSMUST00000136680,ENSMUST00000152010,ENSMUST00000170036	1421.00	1405.00	2562.00	1767.00	452.00	110.00	456.00	1516.00	1625.00	730.00	577.00	996.00
ENSMUSG00000003402	ENSMUST00000003493,ENSMUST00000115331,ENSMUST00000214565,ENSMUST00000215795,ENSMUST00000216344	4234.00	2930.00	3419.00	3525.00	3937.00	5075.00	3010.00	2431.00	3338.00	3733.00	4678.00	3664.00
ENSMUSG00000003410	ENSMUST00000003501,ENSMUST00000213700,ENSMUST00000215901	2.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.85
ENSMUSG00000003411	ENSMUST00000003502,ENSMUST00000106650,ENSMUST00000106651,ENSMUST00000157062	23.00	74.00	23.00	40.00	0.00	50.00	71.00	0.00	0.00	9.00	26.00	39.00
ENSMUSG00000003418	ENSMUST00000003509,ENSMUST00000150781	889.00	565.00	770.00	870.00	411.00	5.00	235.00	0.00	601.00	38.00	112.00	118.00
ENSMUSG00000003420	ENSMUST00000003512,ENSMUST00000209830,ENSMUST00000210642,ENSMUST00000211085,ENSMUST00000211535,ENSMUST00000211668	7325.00	8066.00	8123.00	8503.00	11438.00	6426.00	7014.00	5796.00	10076.00	11085.00	10313.00	11120.00
ENSMUSG00000003421	ENSMUST00000003513,ENSMUST00000107829,ENSMUST00000209243,ENSMUST00000209308,ENSMUST00000209901,ENSMUST00000210088,ENSMUST00000210520,ENSMUST00000210668,ENSMUST00000210998,ENSMUST00000211465	2367.00	1766.00	1933.48	1936.00	2204.96	2241.00	1678.00	2500.00	1826.00	2217.00	2744.87	2723.00
ENSMUSG00000003423	ENSMUST00000085375,ENSMUST00000107811,ENSMUST00000209400,ENSMUST00000209847,ENSMUST00000209954,ENSMUST00000210139,ENSMUST00000211336,ENSMUST00000211414,ENSMUST00000211709	889.22	1124.39	988.25	967.61	2387.82	1534.10	1074.39	474.63	1973.80	738.27	1469.38	1203.52
ENSMUSG00000003429	ENSMUST00000003521,ENSMUST00000209838,ENSMUST00000211583,ENSMUST00000211725	2005.41	8058.10	6909.46	6618.18	14637.99	16240.76	14190.70	17402.69	14765.84	30669.59	22752.45	17229.04
ENSMUSG00000003435	ENSMUST00000003527,ENSMUST00000207563,ENSMUST00000207879,ENSMUST00000208243,ENSMUST00000208367,ENSMUST00000208726,ENSMUST00000209105,ENSMUST00000209141	7114.11	5424.15	6028.04	6867.03	2056.97	2286.53	2812.30	1255.02	3182.89	1840.77	4200.97	4343.30
ENSMUSG00000003436	ENSMUST00000108315,ENSMUST00000138721,ENSMUST00000145512	3.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00
